Name,Country,Sector,Company
Abilio Diniz,Brasil,Alimentos y Bebidas,Carrefour
Aby Lijtszain,México,Transporte,Grupo Traxión
Adolfo Orive,México,Alimentos y bebidas,Tetrapak
Adrian Neuhauser,Chile,Aerolíneas,Avianca
Adriana Barbosa,Brasil,CSO,Feira Preta
Adriana Macouzet,México,Manufactura,PPG Latam
Adriana Noreña,Colombia,Tecnología,Google
Adrián Sada,México,Manufactura,Vitro
Agnes Suárez,Puerto Rico,Finanzas,AIG
Agustín Carstens,México,Finanzas,BIS
Agustín Coppel Luken,México,Comercio,Grupo Coppel
Ailton Krenak,Brasil,CSO,Núcleo de Cultura Indígena
Alberto de la Fuente,México,Energía,Shell
Alejandro Baillères Gual,México,Holding,Grupo Bal
Alejandro Ramírez,México,Medios y entretenimiento,Cinépolis
Alejandro Santo Domingo,Colombia,Holding,Valorem
Alejandro y Marcos Bulgheroni,Argentina,Energía,Pan American Energy
Alexandra Loboda,México,Transporte,Maersk
Alexandre Birman,Brasil,Commerce,Arezzo
Alexandre Borba Chiqueta,Brasil,Medios y Entretenimiento,GaulesTV
Alfredo Chedraui,México,Comercio,Grupo Chedraui
Alfredo Egydio Setubal,Brasil,Holding,Itaúsa
Alfredo Harp Helú,México,Holding,"Grupo Martí, Interceramic"
Aline Pellegrino,Brasil,Deportes,Selección de Brasil
Allan Apoj Pascal y David Poritz,México,Fintech,Covalto
Alok,Brasil,Medios y Entretenimiento,WAAW
Ana Claudia Cerasoli,México,Agronegocios,Corteva
Ana Karina Bortoni Dias,Brasil,Finanzas,BMG
Ana López Mestre,México,Lobby,AmCham
Ana Maria Brescia Cafferata,Perú,Holding,Grupo Breca
Ana Sofía Sánchez,México,Tecnología,Waze
Ana Sofía y Martha Tarbay,Venezuela,Manufactura,Tarbay
Andrea Roth,Uruguay,Comercio,Unión de Exportadores del Uruguay
Andrea Schwarz,Brasil,CSO,iigual
André El-Mann,México,Bienes Raíces,Fibra Uno
André Esteves,Brasil,Finanzas/Eduación,BTG Pactual/Inteli
Andrés Carrillo,Colombia,Energía,EPM
Andrés Fajardo,Colombia,Cannabis,Clever Leaves
Andrés Simón González-Silen,Venezuela,Salud,Asistensi Global Insurance Inc.
Angel Losada,México,Comercio,Grupo Gigante
Angel Sahagún,México,Fintech,Albo
Angélica Fuentes,México,Finanzas,Muvop
Angélica Ruiz,México,Energía,BP
Anitta,Brasil,Medios y Entretenimiento,Anitta
Anna Carolina Bassi,Brasil,Comercio,Carol Bassi
Antonio Carrere,Brasil,Agronegocios,John Deere
Antonio Filosa,Brasil,Automotriz,Stellantis
Antonio Vierci,Paraguay,Holding,Grupo Vierci
Antonio del Valle Ruiz y Antonio del Valle Perochena,México,"Holding, Lobby",Grupo Kaluz y CMN
Armando Garza Sada,México,Manufactura,Alfa
Aron Schwarzkopf,Ecuador,Fintech,Kushki
Arturo Calle,Colombia,Textil,Arturo Calle
Bad Bunny,Puerto Rico,Medios y Entretenimiento,Artista
Beatriz Fernández,Colombia,Alimentos,Crepes & Waffles
Bela Gil,Brasil,Gastronomía,Camélia Ódódó
Benjamin Steinbruch,Brasil,Minería y Metales,CSN/CSN Mineração
Bernardo Romero González,Cuba,E-commerce,Cuba Emprende
Bianca Andrade,Brasil,Cosméticos,Boca Rosa Beauty
Bianca Sassoon,Argentina,Inversionista,17Sigma
Bizarrap,Argentina,Medios y Entretenimiento,Varios
Blanca Juti,México,Cosméticos,L'Oreal
Bruna Marquezine,Brasil,Medios y Entretenimiento,Netflix
Bruna Tavares,Brasil,Cosméticos,Linha Bruna Tavares
Bruno Campos Garfinkel,Brasil,Finanzas,Porto Seguro
Bruno Riga,México,Energía,Enel
Bárbara Garza Suess,México,Fintech,
Bárbara González,México,Fintech,Bitso
Camila Coutinho,Brasil,Medios y Entretenimiento,Garotas Estúpidas
Camila Escobar,Colombia,Alimentos,Juan Valdez
Camila Jordan,Brasil,CSO,Teto
Camilo Atala,Honduras,Finanzas,Banco Ficohsa
Carina Daher,Paraguay,Lobby,Cámara de Empresas Maquiladoras del Paraguay
Carla Medina,México,Energía,Asolmex
Carlo Solari,Chile,Comercio,Falabella
Carlos Alberto Sicupira,Brasil,Alimentos y Bebidas,3G/AB InBev
Carlos Augusto Piani,Brasil,Energía,Equatorial
Carlos Enrique Mata y Luis Miguel Castillo,Guatemala,Alimentos y bebidas,CBC
Carlos Felipe Jaramillo,Colombia,Finanzas,Banco Mundial
Carlos Fernández González,México,"Finanzas, Alimentos y Bebidas",Grupo Finaccess y AmRest
Carlos Gilberto Carlotti Junior,Brasil,Educación,USP
Carlos González Zabalegui,México,Comercio,La Comer
Carlos Guayara,Colombia,Fintech,Trii
Carlos Hank González,México,Finanzas,Banorte
Carlos Ignacio Gallego,Colombia,Alimentos,Grupo Nutresa
Carlos José Martí,República Dominicana,Holding,Grupo Martí
Carlos Lecueder,Uruguay,Comercio,WTC
Carlos Mario Giraldo,Colombia,Comercio,Éxito
Carlos Miguel Pérez,Cuba,Tecnología,Dofleini
Carlos Miguens Bemberg,Argentina,Holding,M.B. Holdings
Carlos Raúl Espínola,Paraguay,Finanzas,Banco Continental
Carlos Rodríguez-Pastor,Perú,Finanzas,Intergroup Financial Services (IFS)
Carlos Slim,México,Holding,"Carso, América Móvil"
Carlos Zenteno,Colombia,Telecomunicaciones,Claro
Carolina Jannicelli,EEUU,Finanzas,JP Morgan
Casimiro Miguel Vieira da Silva Ferreira,Brasil,Medios y Entretenimiento,Canais Casimiro
Cedric Burel,Brasil,Deportes,Decathlon
Chang Zhongjiao y Lyu Shirong,Brasil,Energía,State Grid Brazil Holding
Cintya Añaños Alcazar,Perú,Alimentos,ISM Perú
Claudia Bejarano,Colombia,Minería,Cerrejón
Claudia Elizabeth Márquez Medina,México,Industria Química,Draslovka
Claudia Jañez,México,Consejera,Varias Empresas
Claudia Márquez,México,Automotriz,Genesis Motor
Claudia Romo Edelman,EEUU,OSC,We're All Human Foundation
Claudia Woods,Brasil,Proptech,WeWork
Claudio Pracownik,Brasil,Deportes,Win the Game
Claudio Rodríguez Huaco,Perú,Holding,José Rodriguez Banda SA (Grupo Gloria)
Claudio Zaffari,Brasil,Comercio,Zaffari
Connie Beneitez de Paiz,Guatemala,Alimentos y Bebidas,Panifresh
Constanza Losada,México,Salud,Pfizer
Corrine Ricard,Brasil,Agronegocios,Mosaic Fertilizantes
Cristiano Teixeira,Brasil,Industria Forestal y del Papel,Klabin
Cristina Betts,Brasil,Bienes Raíces,Iguatemi
Cristina Cacho,México,Fintech,Clara
Cristina Junqueira,Brasil,Fintech,Nubank
Cristina Palmaka,Brasil,Tecnología,SAP
Damián Scokin,Argentina,Tecnología,Despegar
Daniel Becker,México,Finanzas,"Mifel, ABM"
Daniel Bonifaz y Paulo Valdiviezo,Perú,Fintech,Kambista
Daniel Funes de Rioja,Argentina,Lobby,Unión Industrial Argentina
Daniel Mangabeira,Brasil,Finanzas,Binance
Daniel Rodríguez,México,Alimentos y Bebidas,FEMSA
Daniel Servitje Montull,México,Alimentos y Bebidas,Bimbo
Daniel Vila y José Luis Manzano,Argentina,Holding,Grupo América / Edenor
Daniel Werthein,Argentina,Holding,Grupo Werthein
Daniella Marques,Brasil,Finanzas,Caixa
Danielle Torres,Brasil,Consultoría,KPMG
David Arana Ley,México,Fintech,Konfío
David Martínez Guzmán,México,Finanzas,Fintech Advisory
David Neeleman,Brasil,Aerolíneas,Azul
David Vélez,Colombia,Finanzas,Nubank
Deusmar Queirós,Brasil,Comercio,Pague Menos
Diego Olcese,Perú,Edtech,Crehana
Diego Serebrisky y Rogelio de los Santos,México,Inversionistas,Dalus Capital
Dominique Oliver,Brasil,E-commerce,Amaro
Dulce Pugliese de Godoy Bueno,Brasil,Salud,Amil
Décio da Silva,Brasil,Manufactura,WEG
Edgard Corona,Brasil,Gimnasio,Smartfit
Edgardo Osorio,Colombia,Manufactura,Aquazurra
Edson Franco,Brasil,Finanzas,Zurich
Edu Lyra,Brasil,CSO,Gerando Falcões
Eduardo Costantini,Argentina,Holding,Consultatio Asset Management y Consultatio Real Estate
Eduardo Eurnekian,Argentina,Holding,Corporación América
Eduardo Guilisasti Gana,Chile,Alimentos,Concha y Toro
Eduardo Hochschild Beeck,Perú,Minería,Hochschild Minería
Eduardo Logemann,Brasil,Agronegocios,SLC Agrícola
Eduardo Navarro,Chile,Energía,Empresas Copec
Eduardo Osuna,México,Finanzas,BBVA
Eduardo Saverin,Brasil,Finanzas,Facebook
Eduardo Sergio Elsztain,Argentina,Bienes Raíces,IRSA
Eduardo Tricio Haro,México,Alimentos y bebidas,Grupo Lala
Eduardo de Salles Bartolomeo,Brasil,Minería y Metales,Vale
Eduardo della Maggiora,Chile,Salud,Betterfly
Elie Horn,Brasil,Bienes Raíces,Cyrela
Elisabeta Zenatti,Brasil,Tecnología,Netflix
Emilio Azcárraga Jean,México,Medios y entretenimiento,Televisa
Emily Ewell y Maria Eduarda Camargo,Brasil,Comercio,Pantys
Enrique Alba,México,Energía,Iberdrola
Enrique Beltranena,México,Aerolíneas,Volaris
Enrique Eskenazi,Argentina,Holding,Grupo Petersen
Enrique Lores,EEUU,Tecnología,HP
Enrique Zambrano,México,Holding,Proeza
Ernesto Fajardo Pinto,Colombia,Alimentos,Alpina
Estevan Sartoreli,Brasil,Alimentos y Bebidas,Dengo
Esther Aguilera,EEUU,Lobby,LCDA
Eugenio López Alonso,México,Alimentos y Bebidas,Grupo Jumex
Evelyn Vilchez,México,Energía,Chevron
Fabio Adegas Faccio,Brasil,Comercio,Lojas Renner
Fabio Barbosa,Brasil,Cosméticos,Natura &Co
Fabio Coelho,Brasil,Tecnología,Google Brasil
Fabián Kon,Argentina,Finanzas,Grupo Financiero Galicia
Fabricio Bloisi,Brasil,Foodtech,iFood
Familia Botrán,Guatemala,Alimentos y Bebidas,Casa Botrán
Familia Brugal,República Dominicana,Alimentos y bebidas,Casa Brugal
Familia Torrado,México,Alimentos y bebidas,Alsea
Fatima Pissarra,Brasil,Medios y Entretenimiento,Mynd
Fausto de Andrade Ribeiro,Brasil,Finanzas,BB
Federico Terrazas Becerra,México,Construcción,GCC
Federico Trucco,Argentina,Agronegocios,Bioceres
Felipe Bayón,Colombia,Energía,Ecopetrol
Felipe Cabrales,Colombia,Media,Grupo Prisa
Felipe Feistler,Brasil,E-Commerce,Shein
Felipe Piringer,Brasil,E-commerce,Shopee
Felipe Vicini Lluberes,República Dominicana,Finanzas,Inicia
Felipe Vilá,México,Inversionista,Fondo de Fondos
Fernando Chico Pardo,México,Aeropuertos,Asur
Fiamma Zarife,Brasil,Tecnología,Twitter
Fidel Egas,Ecuador,Finanzas,Grupo Pichincha
Fira,Colombia,Cripto,Artista NFT
Flávio Rocha,Brasil,Guararapes,Riachuelo
Francis Durman,Costa Rica,Alimentos y bebidas,Grupo Montecristo
Francisco Gomes Neto,Brasil,Manufactura,Embraer
Francisco Ivens de Sá Dias Branco Júnior,Brasil,Alimentos y Bebidas,M.Dias Branco
Francisco Pérez Mackenna,Chile,Holding,Quiñenco
Francisco Robinson Bours,México,"Alimentos y Bebidas, Comunicaciones",Bachoco y Megacable
Frank Elías Rainieri Kuret,República Dominicana,Holding,Grupo Puntacana
Freddy Vega y Christian Van der Henst,Colombia,Edtech,Platzi
Gabriel Medina,Brasil,Fintech,Kauai
Gabriel Portella Fagundes Filho,Brasil,Finanzas,SulAmérica
Gabriela Prioli,Brasil,Medios y Entretenimiento,CNN Brasil
Gabriela Soni,México,Finanzas,UBS
Gala Díaz Langou,Argentina,Think Tank,CIPPEC
Germán Larrea,México,Holding,Grupo México
Gianfranco Ferrari,Perú,Finanzas,Credicorp
Gilberto Mautner,Brasil,Tecnología,Locaweb
Gilberto Tomazoni,Brasil,Alimentos y Bebidas,JBS
Gilson Finkelsztain,Brasil,Finanzas,B3
Gina Diez Barroso,México,Educación,Dalia Empower
Gina Gotthilf,Brasil,Tecnología,Latitud
Gonzalo Pérez,Colombia,Finanzas,Grupo Sura
Gregorio Pérez Companc,Argentina,Holding,Grupo Pérez Companc
Guadalupe Phillips,México,Construcción,ICA
Guibert Englebienne,Argentina,Tecnología,Globant / Endeavor Argentina
Guilherme Benchimol,Brasil,Finanzas,XP
Guilherme Horn,Brasil,Tecnología,WhatsApp
Guillermo Bueso,Honduras,Finanzas,Banco Atlántida
Guillermo Castillo Villacorta,Guatemala,Alimentos y bebidas,Cervecería Centro Americana
Guillermo Ochoa,México,Deportes,Futbolista
Gustavo Salinas,Argentina,Automotriz,Toyota
Gustavo Werneck,Brasil,Minería y Metales,Gerdau
Harold Eder,Colombia,Alimentos,Manuelita
Heike Paulmann,Chile,Comercio,Cencosud
Helena Caldeira,Brasil,Finanzas,Banco Inter
Henrique Dubugras y Pedro Franceschi,Brasil,Fintech,Brex
Henry A. Fernández,EEUU,Finanzas,MSCI
Hugo Rodrigues,Brasil,Medios y Entretenimiento,WMcCann
Hugo Sigman,Argentina,Salud,Grupo Insud
Héctor Hernández-Pons,México,Alimentos y bebidas,Grupo Herdez
Héctor Magnetto,Argentina,Medios y Entretenimiento,Grupo Clarín
Héctor Rizek,República Dominicana,Alimentos y bebidas,Rizek Cacao
Igão y Mítico,Brasil,Medios y Entretenimiento,Podpah
Ileana Musa,EEUU,Finanzas,Morgan Stanley
Ileana Rojas,Costa Rica,Tecnología,Intel
Indira Kempis,México,Servicio público,Senadora
Isabel Noboa,Ecuador,Holding,Nobis Holding de Inversiones
Isela Costantini,Argentina,Finanzas,Grupo Financiero GST
Ivonne Cuello,Colombia,Finanzas,LAVCA
Iván Arriagada,Chile,Minería,Antofagasta
Izabel Cristina Andriotti,Brasil,Servicios,Ambipar
Jaime Zunzunegui,México,Inversionista,Nazca Capital
Jaime y Gabriel Gilinski,Colombia,Finanzas y medios de comunicación,Grupo Gilinski
Jairo Corrales,Colombia,Inversionista,PEI Asset Management
James Eduardo Bellini,Brasil,Automotriz,Marcopolo
Janine Belmont,Perú,Comésticos,Yanbal International
Javier Arroyo Chávez,México,Comercio,Farmacias Guadalajara
Jean Jereissati,Brasil,Alimentos y Bebidas,Ambev
Jeane Tsutsui,Brasil,Salud,Fleury
"Jerónimo y Tomás Uribe, Santiago García y Rodrigo Sánchez-Ríos",Colombia,Proptech,La Haus
Jessica Alba,EEUU,Beauty,The Honest Company
